code,R_rheostat_ohm,R_parallel_ohm,R_total_ohm
0,120.0,120.0,120.0
1,159.0625,159.0625,159.0625
2,198.125,198.125,198.125
3,237.1875,237.1875,237.1875
4,276.25,276.25,276.25
5,315.3125,315.3125,315.3125
6,354.375,354.375,354.375
7,393.4375,393.4375,393.4375
8,432.5,432.5,432.5
9,471.5625,471.5625,471.5625
10,510.625,510.625,510.625
11,549.6875,549.6875,549.6875
12,588.75,588.75,588.75
13,627.8125,627.8125,627.8125
14,666.875,666.875,666.875
15,705.9375,705.9375,705.9375
16,745.0,745.0,745.0
17,784.0625,784.0625,784.0625
18,823.125,823.125,823.125
19,862.1875,862.1875,862.1875
20,901.25,901.25,901.25
21,940.3125,940.3125,940.3125
22,979.375,979.375,979.375
23,1018.4375,1018.4375,1018.4375
24,1057.5,1057.5,1057.5
25,1096.5625,1096.5625,1096.5625
26,1135.625,1135.625,1135.625
27,1174.6875,1174.6875,1174.6875
28,1213.75,1213.75,1213.75
29,1252.8125,1252.8125,1252.8125
30,1291.875,1291.875,1291.875
31,1330.9375,1330.9375,1330.9375
32,1370.0,1370.0,1370.0
33,1409.0625,1409.0625,1409.0625
34,1448.125,1448.125,1448.125
35,1487.1875,1487.1875,1487.1875
36,1526.25,1526.25,1526.25
37,1565.3125,1565.3125,1565.3125
38,1604.375,1604.375,1604.375
39,1643.4375,1643.4375,1643.4375
40,1682.5,1682.5,1682.5
41,1721.5625,1721.5625,1721.5625
42,1760.625,1760.625,1760.625
43,1799.6875,1799.6875,1799.6875
44,1838.75,1838.75,1838.75
45,1877.8125,1877.8125,1877.8125
46,1916.875,1916.875,1916.875
47,1955.9375,1955.9375,1955.9375
48,1995.0,1995.0,1995.0
49,2034.0625,2034.0625,2034.0625
50,2073.125,2073.125,2073.125
51,2112.1875,2112.1875,2112.1875
52,2151.25,2151.25,2151.25
53,2190.3125,2190.3125,2190.3125
54,2229.375,2229.375,2229.375
55,2268.4375,2268.4375,2268.4375
56,2307.5,2307.5,2307.5
57,2346.5625,2346.5625,2346.5625
58,2385.625,2385.625,2385.625
59,2424.6875,2424.6875,2424.6875
60,2463.75,2463.75,2463.75
61,2502.8125,2502.8125,2502.8125
62,2541.875,2541.875,2541.875
63,2580.9375,2580.9375,2580.9375
64,2620.0,2620.0,2620.0
65,2659.0625,2659.0625,2659.0625
66,2698.125,2698.125,2698.125
67,2737.1875,2737.1875,2737.1875
68,2776.25,2776.25,2776.25
69,2815.3125,2815.3125,2815.3125
70,2854.375,2854.375,2854.375
71,2893.4375,2893.4375,2893.4375
72,2932.5,2932.5,2932.5
73,2971.5625,2971.5625,2971.5625
74,3010.625,3010.625,3010.625
75,3049.6875,3049.6875,3049.6875
76,3088.75,3088.75,3088.75
77,3127.8125,3127.8125,3127.8125
78,3166.875,3166.875,3166.875
79,3205.9375,3205.9375,3205.9375
80,3245.0,3245.0,3245.0
81,3284.0625,3284.0625,3284.0625
82,3323.125,3323.125,3323.125
83,3362.1875,3362.1875,3362.1875
84,3401.25,3401.25,3401.25
85,3440.3125,3440.3125,3440.3125
86,3479.375,3479.375,3479.375
87,3518.4375,3518.4375,3518.4375
88,3557.5,3557.5,3557.5
89,3596.5625,3596.5625,3596.5625
90,3635.625,3635.625,3635.625
91,3674.6875,3674.6875,3674.6875
92,3713.75,3713.75,3713.75
93,3752.8125,3752.8125,3752.8125
94,3791.875,3791.875,3791.875
95,3830.9375,3830.9375,3830.9375
96,3870.0,3870.0,3870.0
97,3909.0625,3909.0625,3909.0625
98,3948.125,3948.125,3948.125
99,3987.1875,3987.1875,3987.1875
100,4026.25,4026.25,4026.25
101,4065.3125,4065.3125,4065.3125
102,4104.375,4104.375,4104.375
103,4143.4375,4143.4375,4143.4375
104,4182.5,4182.5,4182.5
105,4221.5625,4221.5625,4221.5625
106,4260.625,4260.625,4260.625
107,4299.6875,4299.6875,4299.6875
108,4338.75,4338.75,4338.75
109,4377.8125,4377.8125,4377.8125
110,4416.875,4416.875,4416.875
111,4455.9375,4455.9375,4455.9375
112,4495.0,4495.0,4495.0
113,4534.0625,4534.0625,4534.0625
114,4573.125,4573.125,4573.125
115,4612.1875,4612.1875,4612.1875
116,4651.25,4651.25,4651.25
117,4690.3125,4690.3125,4690.3125
118,4729.375,4729.375,4729.375
119,4768.4375,4768.4375,4768.4375
120,4807.5,4807.5,4807.5
121,4846.5625,4846.5625,4846.5625
122,4885.625,4885.625,4885.625
123,4924.6875,4924.6875,4924.6875
124,4963.75,4963.75,4963.75
125,5002.8125,5002.8125,5002.8125
126,5041.875,5041.875,5041.875
127,5080.9375,5080.9375,5080.9375
128,5120.0,5120.0,5120.0
129,5159.0625,5159.0625,5159.0625
130,5198.125,5198.125,5198.125
131,5237.1875,5237.1875,5237.1875
132,5276.25,5276.25,5276.25
133,5315.3125,5315.3125,5315.3125
134,5354.375,5354.375,5354.375
135,5393.4375,5393.4375,5393.4375
136,5432.5,5432.5,5432.5
137,5471.5625,5471.5625,5471.5625
138,5510.625,5510.625,5510.625
139,5549.6875,5549.6875,5549.6875
140,5588.75,5588.75,5588.75
141,5627.8125,5627.8125,5627.8125
142,5666.875,5666.875,5666.875
143,5705.9375,5705.9375,5705.9375
144,5745.0,5745.0,5745.0
145,5784.0625,5784.0625,5784.0625
146,5823.125,5823.125,5823.125
147,5862.1875,5862.1875,5862.1875
148,5901.25,5901.25,5901.25
149,5940.3125,5940.3125,5940.3125
150,5979.375,5979.375,5979.375
151,6018.4375,6018.4375,6018.4375
152,6057.5,6057.5,6057.5
153,6096.5625,6096.5625,6096.5625
154,6135.625,6135.625,6135.625
155,6174.6875,6174.6875,6174.6875
156,6213.75,6213.75,6213.75
157,6252.8125,6252.8125,6252.8125
158,6291.875,6291.875,6291.875
159,6330.9375,6330.9375,6330.9375
160,6370.0,6370.0,6370.0
161,6409.0625,6409.0625,6409.0625
162,6448.125,6448.125,6448.125
163,6487.1875,6487.1875,6487.1875
164,6526.25,6526.25,6526.25
165,6565.3125,6565.3125,6565.3125
166,6604.375,6604.375,6604.375
167,6643.4375,6643.4375,6643.4375
168,6682.5,6682.5,6682.5
169,6721.5625,6721.5625,6721.5625
170,6760.625,6760.625,6760.625
171,6799.6875,6799.6875,6799.6875
172,6838.75,6838.75,6838.75
173,6877.8125,6877.8125,6877.8125
